antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"power, word","excel, point",0.05877616747181964,0.06239935587761675,0.05112721417069243,0.8698630136986302,13.94025629695095,1.0,0.047459619179495954,7.204720739045683,0.9862322598896694,0.7298850574712643,0.8612021150826096,0.8446089262041538
"excel, point","power, word",0.06239935587761675,0.05877616747181964,0.05112721417069243,0.8193548387096774,13.94025629695095,1.0,0.047459619179495954,5.210346215780998,0.9900433763941809,0.7298850574712643,0.8080741742321808,0.8446089262041538
"point, word","excel, power",0.05837359098228664,0.06481481481481481,0.05112721417069243,0.8758620689655172,13.513300492610838,1.0,0.047343740681099776,7.533436213991768,0.9834036350415583,0.7094972067039107,0.8672584499829293,0.8323409723709574
"excel, power","point, word",0.06481481481481481,0.05837359098228664,0.05112721417069243,0.7888198757763976,13.513300492610838,1.0,0.047343740681099776,4.458877995642703,0.9901769704529507,0.7094972067039107,0.7757283332315398,0.8323409723709574
"excel, power, word",point,0.05636070853462158,0.07608695652173914,0.05112721417069243,0.9071428571428571,11.922448979591836,1.0,0.046838899390884266,9.949832775919733,0.9708419553357878,0.6287128712871287,0.8994957983193277,0.7895502645502646
point,"excel, power, word",0.07608695652173914,0.05636070853462158,0.05112721417069243,0.6719576719576719,11.922448979591834,1.0,0.046838899390884266,2.876577840112201,0.9915701713756369,0.6287128712871287,0.65236470014627,0.7895502645502646
"power, word",point,0.05877616747181964,0.07608695652173914,0.05314009661835749,0.904109589041096,11.882583170254403,1.0,0.04866799691941469,9.63509316770187,0.9730344505793608,0.6502463054187193,0.8962127316680097,0.8012611437268972
point,"power, word",0.07608695652173914,0.05877616747181964,0.05314009661835749,0.6984126984126984,11.882583170254403,1.0,0.04866799691941469,3.12090007627765,0.99126559714795,0.6502463054187193,0.6795796162776487,0.8012611437268972
point,"excel, power",0.07608695652173914,0.06481481481481481,0.0571658615136876,0.7513227513227513,11.591836734693878,1.0,0.05223429951690821,3.76063829787234,0.9889809444904722,0.6826923076923076,0.734087694483734,0.8166551644812514
"excel, power",point,0.06481481481481481,0.07608695652173914,0.0571658615136876,0.8819875776397516,11.591836734693876,1.0,0.05223429951690821,7.828947368421052,0.9770603820945475,0.6826923076923076,0.8722689075630252,0.8166551644812514
power,"excel, point, word",0.08454106280193237,0.05555555555555555,0.05112721417069243,0.6047619047619047,10.885714285714286,1.0,0.046430488459473965,2.3895582329317264,0.9920013296490973,0.5746606334841629,0.5815126050420167,0.7625258799171842
"excel, point, word",power,0.05555555555555555,0.08454106280193237,0.05112721417069243,0.9202898550724637,10.885714285714286,1.0,0.046430488459473965,11.48484848484848,0.9615562760537286,0.5746606334841629,0.9129287598944591,0.7625258799171842
power,"excel, point",0.08454106280193237,0.06239935587761675,0.0571658615136876,0.6761904761904761,10.836497695852534,1.0,0.05189055364963787,2.8955314009661826,0.9915455795458769,0.6367713004484306,0.6546402502606883,0.7961597542242703
"excel, point",power,0.06239935587761675,0.08454106280193237,0.0571658615136876,0.9161290322580645,10.836497695852534,1.0,0.05189055364963787,10.915087328130808,0.9681299475686234,0.6367713004484306,0.9083836922291258,0.7961597542242703
"point, word",power,0.05837359098228664,0.08454106280193237,0.05314009661835749,0.9103448275862068,10.76807881773399,1.0,0.048205131197149684,10.210888145670745,0.9633681837615142,0.5919282511210763,0.902065326175962,0.7694581280788177
power,"point, word",0.08454106280193237,0.05837359098228664,0.05314009661835749,0.6285714285714286,10.76807881773399,1.0,0.048205131197149684,2.5351480242784588,0.9909050931478374,0.5919282511210763,0.6055457155072375,0.7694581280788177
ledger,general,0.05636070853462158,0.08494363929146538,0.05152979066022544,0.9142857142857143,10.763439404197698,1.0,0.046742306964249136,10.675657541599566,0.9612707977815701,0.5739910313901344,0.906328954811137,0.7604603926878808
general,ledger,0.08494363929146538,0.05636070853462158,0.05152979066022544,0.6066350710900473,10.763439404197698,1.0,0.046742306964249136,2.3988902469782505,0.9912972943246812,0.5739910313901344,0.5831405787490092,0.7604603926878808
"human, office",resource,0.05112721417069243,0.10024154589371981,0.05032206119162641,0.984251968503937,9.818802770135662,1.0,0.0451969902059169,57.134661835748894,0.9465490029698769,0.49800796812749004,0.9824974898271944,0.7431300003162256
resource,"human, office",0.10024154589371981,0.05112721417069243,0.05032206119162641,0.5020080321285141,9.818802770135662,1.0,0.0451969902059169,1.9053977715443355,0.9982174496644294,0.49800796812749004,0.475175202294115,0.7431300003162256
